,term,grade,emp_length,annual_inc,pymnt_plan,out_prncp_inv,delinq_2yrs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
67606,36.0,2.0,2.0,32000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
77907,36.0,4.0,10.0,80000.0,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53727,36.0,5.0,5.0,21562.0,0.0,3724.21,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
91743,36.0,3.0,0.0,50000.0,0.0,2212.77,5.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45043,60.0,4.0,2.0,70000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90259,36.0,4.0,4.0,42000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
56794,36.0,2.0,8.0,78000.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
57762,36.0,1.0,8.0,70000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
15393,36.0,3.0,0.0,85000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30113,60.0,4.0,6.0,37000.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
44394,36.0,3.0,10.0,104275.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64338,36.0,2.0,0.0,230000.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9694,36.0,2.0,0.0,62000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16327,36.0,7.0,10.0,44000.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69920,60.0,4.0,3.0,53000.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76096,36.0,3.0,,24000.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
46198,60.0,4.0,5.0,85000.0,0.0,18472.62,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79319,36.0,5.0,1.0,80000.0,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9274,36.0,4.0,,59700.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
