,term,grade,emp_length,annual_inc,pymnt_plan,out_prncp_inv,delinq_2yrs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
11096,36.0,2.0,5.0,42000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
72381,36.0,3.0,1.0,21000.0,0.0,4688.66,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
85635,60.0,6.0,3.0,100000.0,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38370,60.0,3.0,9.0,165000.0,0.0,23467.34,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69938,60.0,3.0,10.0,165000.0,0.0,26235.04,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
67520,36.0,1.0,3.0,100000.0,0.0,6299.1,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56907,36.0,2.0,7.0,78000.0,0.0,9759.49,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45293,36.0,2.0,,4464.0,0.0,2032.64,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
53058,36.0,3.0,4.0,125000.0,0.0,18577.19,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
90792,36.0,4.0,10.0,36000.0,0.0,4683.66,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1550,36.0,1.0,0.0,80224.0,0.0,27713.15,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75435,36.0,3.0,2.0,60000.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
41263,60.0,3.0,10.0,115000.0,0.0,29460.9,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43458,60.0,5.0,10.0,83000.0,0.0,13594.37,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54107,36.0,1.0,10.0,160000.0,0.0,12714.73,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8745,36.0,3.0,1.0,53300.0,0.0,5130.9,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
89418,36.0,3.0,10.0,61500.0,0.0,7042.29,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
13089,36.0,2.0,10.0,39000.0,0.0,9851.17,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46626,60.0,5.0,2.0,46000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
68900,36.0,4.0,,68722.0,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
89915,60.0,3.0,8.0,104000.0,0.0,15312.58,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66717,36.0,3.0,1.0,79000.0,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
28996,36.0,3.0,10.0,268000.0,0.0,24007.77,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11525,36.0,3.0,,30000.0,0.0,5641.09,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3022,36.0,2.0,6.0,56000.0,0.0,8323.57,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
49560,36.0,3.0,1.0,35000.0,0.0,11761.9,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14120,36.0,2.0,2.0,50000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28665,36.0,1.0,7.0,150000.0,0.0,13142.23,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36804,36.0,1.0,10.0,180000.0,0.0,6661.1,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86640,60.0,4.0,3.0,200000.0,0.0,20145.93,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
88000,60.0,3.0,1.0,5990095.0,0.0,10645.45,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42236,36.0,1.0,1.0,52000.0,0.0,3996.87,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
59083,36.0,2.0,6.0,45000.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
25652,36.0,3.0,1.0,53000.0,0.0,4108.07,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
67355,36.0,2.0,10.0,100000.0,0.0,3256.27,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37740,60.0,3.0,10.0,90000.0,0.0,12677.31,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55469,36.0,1.0,4.0,132000.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
75391,36.0,4.0,10.0,92901.0,0.0,8039.15,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
30834,60.0,2.0,10.0,75000.0,0.0,13264.4,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80049,36.0,2.0,0.0,55000.0,0.0,4558.84,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96359,60.0,3.0,4.0,65000.0,0.0,9744.61,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9351,36.0,1.0,10.0,72000.0,0.0,6928.29,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14149,36.0,1.0,10.0,90000.0,0.0,13856.58,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88412,60.0,4.0,,58500.0,0.0,8393.82,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
89014,36.0,1.0,,37800.0,0.0,6733.54,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35593,60.0,3.0,,39000.0,0.0,14942.54,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87933,36.0,1.0,6.0,130000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29534,60.0,3.0,10.0,58119.0,0.0,0.0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83453,60.0,4.0,6.0,61500.0,0.0,10789.65,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
44000,36.0,3.0,10.0,180000.0,0.0,9650.16,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
63799,60.0,4.0,10.0,45000.0,0.0,8429.22,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
21201,60.0,3.0,10.0,69000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62256,36.0,3.0,10.0,33500.0,0.0,2303.19,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49191,36.0,3.0,0.0,28800.0,0.0,2189.75,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
22200,36.0,3.0,10.0,52150.0,0.0,9967.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61425,36.0,2.0,3.0,64000.0,0.0,9768.96,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
79612,36.0,2.0,10.0,110000.0,0.0,1953.17,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68337,36.0,6.0,10.0,52000.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
53434,36.0,3.0,7.0,120000.0,0.0,10475.52,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
14406,36.0,1.0,10.0,63000.0,0.0,4988.67,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70973,60.0,3.0,3.0,70000.0,0.0,24681.64,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4519,36.0,2.0,1.0,60000.0,0.0,8795.73,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
833,36.0,1.0,0.0,70000.0,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7924,36.0,3.0,0.0,45000.0,0.0,3416.69,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73460,60.0,3.0,10.0,93000.0,0.0,20710.55,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
50609,36.0,6.0,1.0,46800.0,0.0,10978.17,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
29651,36.0,1.0,10.0,120000.0,0.0,13142.23,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62466,60.0,3.0,4.0,75000.0,0.0,13163.54,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92474,36.0,2.0,3.0,135000.0,0.0,9195.52,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77838,36.0,3.0,5.0,85000.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
38976,36.0,3.0,7.0,21000.0,0.0,1363.68,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61168,36.0,2.0,10.0,55000.0,0.0,12692.89,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6177,36.0,3.0,4.0,87000.0,0.0,13450.23,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
89232,36.0,1.0,3.0,45000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
92432,36.0,3.0,0.0,45760.0,0.0,5031.18,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
51914,60.0,2.0,6.0,70000.0,0.0,20717.16,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
62829,36.0,5.0,10.0,33540.0,0.0,11427.07,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69530,36.0,3.0,10.0,60000.0,0.0,9047.6,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63460,36.0,2.0,10.0,47000.0,0.0,6057.28,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83542,36.0,2.0,5.0,54000.0,0.0,5121.89,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77916,60.0,3.0,0.0,138000.0,0.0,15741.02,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18844,36.0,1.0,10.0,130000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
85031,36.0,3.0,3.0,71000.0,0.0,1572.16,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
24891,36.0,3.0,10.0,90000.0,0.0,20529.3,2.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
33223,36.0,3.0,5.0,55000.0,0.0,5761.75,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
50441,36.0,1.0,,36960.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61910,60.0,1.0,10.0,135000.0,0.0,21625.34,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55932,36.0,1.0,1.0,30000.0,0.0,2546.42,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
62660,60.0,3.0,10.0,98000.0,0.0,28694.57,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79085,60.0,3.0,1.0,60000.0,0.0,9940.7,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
49226,36.0,1.0,1.0,75000.0,0.0,7963.06,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80824,36.0,2.0,2.0,52000.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
63977,36.0,2.0,3.0,50000.0,0.0,4480.44,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
26168,36.0,1.0,4.0,85000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
89064,60.0,3.0,10.0,95000.0,0.0,12164.63,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87820,60.0,3.0,10.0,80000.0,0.0,29123.83,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
88510,36.0,3.0,10.0,115000.0,0.0,3773.61,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
